,title,date,content
10,"Air Liquide: double-top sous 168,5E -Air Liquide",2023-09-20 15:13:00,"['air', 'liquid', 'matérialis', 'parf', 'sous', 'août', 'septembr', 'égal', 'plafon', 'tres', 'précis', 'contact', 'depuis', 'juin', 'derni', 'clôtur', 'la', 'tendanc', 'haussi', 'invalid', 'franch', 'cassur', 'support', 'obliqu', 'liber', 'potentiel', 'repl', 'ver', 'puis', 'surtout', 'planch', 'juillet', 'derni']"
11,"Air Liquide : nouveau record à 168,06E -Air Liquide",2023-09-18 19:45:00,"['air', 'liquid', 'figur', 'toujour', 'parm', 'favorit', 'ger', 'a', 'conclu', 'trimestr', 'nouveau', 'record', 'clôtur', 'cet', 'marqu', 'déjà', 'atteint', 'seul', 'intraday', 'août', 'trimestr', 'moin', 'glorieux', 'tendanc', 'haussi', 'moyen', 'term', 'point', 'origin', 'rest', 'valid', 'tant', 'support', 'obliqu', 'enfonc', 'attent', 'cepend', 'plafon', 'zon', 'depuis', 'juin', 'derni', 'clôtur']"
12,Air Liquide: investissement dans un électrolyseur,2023-09-14 09:22:00,"['a', 'signatur', 'protocol', 'totalenerg', 'raffiner', 'gonfrevill', 'air', 'liquid', 'annonc', 'invest', 'plus', 'million', 'construct', 'électrolyseur', 'capac', 'mw', 'cet', 'électrolyseur', 'livr', 'long', 'term', 'raffiner', 'renouvel', 'bas', 'carbon', 'correspond', 'capac', 'mw', 'part', 'second', 'semestr', 'le', 'mw', 'rest', 'destin', 'client', 'afin', 'totalenerg', 'produir', 'renouvel', 'hauteur', 'mw', 'pour', 'rest', 'besoin', 'électr', 'air', 'liquid', 'prévoit', 'contrat', 'long', 'term', 'énerg', 'renouvel']"
13,Air Liquide: nouvelle directrice des ressources humaines,2023-09-08 07:43:00,"['air', 'liquid', 'annonc', 'nomin', 'irion', 'post', 'directric', 'ressourc', 'humain', 'membr', 'comit', 'exécut', 'compt', 'septembr', 'succed', 'armel', 'levieux', 'prendr', 'nouvel', 'respons', 'sein', 'group', 'gaz', 'industriel', 'ameli', 'irion', 'apport', 'plus', 'an', 'international', 'domain', 'ressourc', 'humain', 'de', 'a', 'occup', 'post', 'directric', 'ressourc', 'humain', 'col', 'où', 'membr', 'comit', 'exécut', 'comit', 'strateg']"
14,"Air Liquide: se hisse à 165E, record absolu à portée de main",2023-08-24 13:01:00,"['air', 'liquid', 'hiss', 'record', 'absolu', 'test', 'dur', 'quelqu', 'minut', 'seul', 'juin', 'port', 'main', 'le', 'niveau', 'correspond', 'passag', 'résist', 'long', 'term', 'uniss', 'précédent', 'sommet', 'absolus']"
15,Air Liquide: Berenberg passe à une recommandation d'achat,2023-08-24 12:31:00,"['berenberg', 'a', 'relev', 'jeud', 'recommand', 'titr', 'air', 'liquid', 'contr', 'jusqu', 'présent', 'object', 'cour', 'rehauss', 'euros', 'dan', 'not', 'recherch', 'allemand', 'salu', 'disciplin', 'opérationnel', 'prévu', 'dont', 'fait', 'preuv', 'selon', 'group', 'industriel', 'raison', 'laquel', 'affich', 'pend', 'certain', 'temp', 'opinion', 'neutr', 'air', 'liquid', 'ten', 'inquiétud', 'concern', 'surinvest', 'segment', 'tres', 'fragment', 'soulign', 'berenberg', 'expliqu', 'redout', 'cet', 'strateg', 'conduis', 'group', 'model', 'économ', 'traditionnel', 'bas', 'contrat', 'ferm', 'si', 'caractérist', 'secteur', 'derni', 'trimestr', 'contrair', 'apport', 'preuv', 'societ', 'prêt', 'attent', 'polit', 'malgr', 'bilan', 'renforc', 'pourr', 'multipli', 'dépens']"
16,"Air Liquide: le titre monte, Berenberg passe à l'achat",2023-08-24 11:01:00,"['air', 'liquid', 'enregistr', 'deuxiem', 'plus', 'fort', 'hauss', 'cac', 'jeud', 'bours', 'paris', 'suit', 'relev', 'recommand', 'berenberg', 'pass', 'titr', 'peu', 'avant', 'titr', 'spécial', 'franc', 'gaz', 'industriel', 'just', 'derri', 'capgemin', 'profit', 'valeur', 'technolog', 'apres', 'bon', 'résultat', 'publi', 'nvidi', 'berenberg', 'a', 'relev', 'matin', 'recommand', 'air', 'liquid', 'contr', 'jusqu', 'présent', 'object', 'cour', 'rehauss', 'euros', 'dan', 'not', 'recherch', 'allemand', 'salu', 'disciplin', 'opérationnel', 'prévu', 'dont', 'fait', 'preuv', 'selon', 'group', 'industriel', 'raison', 'laquel', 'affich', 'pend', 'certain', 'temp', 'opinion', 'neutr', 'air', 'liquid', 'ten', 'inquiétud', 'concern', 'surinvest', 'segment', 'tres', 'fragment', 'soulign', 'berenberg', 'expliqu', 'redout', 'cet', 'strateg', 'conduis', 'group', 'model', 'économ', 'traditionnel', 'bas', 'contrat', 'ferm', 'si', 'caractérist', 'secteur', 'derni', 'trimestr', 'contrair', 'apport', 'preuv', 'societ', 'prêt', 'attent', 'polit', 'malgr', 'bilan', 'renforc', 'pourr', 'multipli', 'dépens', 'en', 'bours', 'air', 'liquid', 'affich', 'dorénav', 'hauss', 'plus', 'depuis', 'début', 'fait', 'plus', 'fort', 'progress', 'annuel', 'cac', 'côt', 'stm', 'hermes', 'stellant', 'safran']"
17,Air Liquide: BPA accru de 32% au 1er semestre,2023-07-27 08:18:00,"['air', 'liquid', 'publ', 'bpa', 'progress', 'titr', 'premi', 'semestr', 'euros', 'marg', 'opérationnel', 'roc', 'chiffr', 'fort', 'amélior', 'point', 'bas', 'hor', 'effet', 'énerg', 'le', 'chiffr', 'group', 'gaz', 'industriel', 'établ', 'pres', 'milliard', 'retr', 'publi', 'effet', 'énerg', 'chang', 'défavor', 'croissanc', 'compar', 'air', 'liquid', 'confi', 'capac', 'augment', 'nouveau', 'marg', 'opérationnel', 'réalis', 'croissanc', 'résultat', 'net', 'récurrent', 'chang', 'const', 'affirm', 'directeur', 'général', 'françois', 'jackow']"
18,Air Liquide: investissement dans deux sites en Asie,2023-07-21 09:15:00,"['air', 'liquid', 'annonc', 'invest', 'pres', 'million', 'dollar', 'deux', 'nouveau', 'centr', 'product', 'matérial', 'avanc', 'taïwan', 'cor', 'sud', 'proxim', 'client', 'répons', 'leur', 'besoin', 'permettr', 'grâc', 'collabor', 'étroit', 'innov', 'développ', 'solut', 'product', 'fiabl', 'grand', 'qualit', 'plein', 'capac', 'expliqu', 'fournisseur', 'franc', 'gaz', 'industriel', 'ce', 'install', 'devr', 'être', 'opérationnel', 'respect', 'modulair', 'flexibl', 'integr', 'outr', 'system', 'numer', 'contrôl', 'qualit', 'afin', 'répondr', 'besoin', 'client', 'const', 'évolu']"
19,Air Liquide: projet d'ammoniac bas carbone avec KBR,2023-07-19 09:43:00,"['air', 'liquid', 'annonc', 'va', 'traver', 'activ', 'ingénier', 'construct', 'collabor', 'kbr', 'propos', 'solut', 'technolog', 'product', 'bas', 'carbon', 'integr', 'proced', 'reformag', 'autotherm', 'atr', 'le', 'group', 'gaz', 'industriel', 'expliqu', 'solut', 'contribu', 'développ', 'march', 'global', 'bas', 'carbon', 'mesur', 'où', 'transform', 'ammoniac', 'peut', 'facil', 'être', 'transport', 'longu', 'distanc', 'march', 'global', 'a', 'atteint', 'pres', 'milliard', 'dollar', 'devr', 'dépass', 'milliard', 'attendu', 'croissanc', 'annuel', 'moyen', 'entre', 'selon', 'precedent', 'research', 'ailleur']"
