Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,76.325836,77.313751,76.325836,77.277168,64.843384,616321
2015-12-30,77.057625,77.313751,76.691734,76.838089,64.474960,561835
2016-01-04,75.264740,75.337921,73.215721,73.801155,61.926670,1857421
2016-01-05,74.423180,74.496361,72.469299,73.362083,61.558250,1970915
2016-01-06,73.508438,73.508438,71.825317,72.337570,60.698566,1907751
2016-01-07,70.544685,71.583832,69.988525,70.669090,59.298542,2608455
2016-01-08,70.698364,71.342339,69.593353,69.593353,58.395885,2661635
2016-01-11,69.220139,70.098289,68.759117,68.759117,57.695889,2492217
2016-01-12,68.766434,71.254524,68.605438,70.698364,59.323109,2186042
2016-01-13,71.671646,72.191216,70.720314,71.034988,59.605568,1660030
2016-01-14,70.347099,70.698364,68.685936,70.164154,58.874847,2592844
2016-01-15,70.947166,71.225250,68.598122,69.029877,57.923077,3582966
2016-01-18,69.022560,69.768990,68.327354,68.437126,57.425705,1589201
2016-01-19,69.768990,69.849480,68.451759,68.546890,57.517796,1670846
2016-01-20,67.668747,68.034637,66.424698,67.719971,56.823936,2679929
2016-01-21,67.624840,69.315277,67.617516,68.678619,57.628338,2642239
2016-01-22,70.156837,71.415520,69.849480,70.530052,59.181881,2904881
2016-01-25,71.049622,71.291115,69.637260,69.951935,58.696774,1154655
2016-01-26,68.737160,70.522728,68.524940,70.047066,58.776604,1530682
2016-01-27,69.468948,69.703125,68.590805,69.578720,58.383625,1627824
2016-01-28,69.359184,70.010475,68.590805,69.249413,58.107292,1956859
2016-01-29,70.273926,70.427597,68.612755,69.681168,58.469574,2078000
2016-02-01,70.127563,70.178787,68.832291,69.417725,58.248520,1861784
2016-02-02,69.146965,69.395775,68.129776,68.803024,57.732723,1678768
2016-02-03,68.729843,69.556763,68.334679,69.205505,58.070450,2270216
2016-02-04,70.069023,70.083656,68.393219,69.768990,58.543262,2161435
2016-02-05,69.951935,70.669090,69.446999,69.761665,58.537121,2063122
2016-02-08,70.134880,70.215378,67.229668,67.617516,56.737961,1868390
2016-02-09,67.602882,68.759117,66.600327,68.166367,57.198505,2813505
2016-02-10,68.978653,70.090973,68.188316,69.271370,58.125713,1799910
2016-02-11,68.481033,68.481033,66.936951,67.676064,56.787102,2417489
2016-02-12,68.590805,68.861565,67.690697,68.678619,57.628338,2136416
2016-02-15,69.798256,70.976440,69.498222,70.617867,59.255562,1703496
